level,key,profile,won,seconds,deaths,score
7,split-decision,750ms,1,13.133,0,2358
8,level-2b,750ms,1,18.817,1,1010
9,level-2c,750ms,1,9.000,1,719
10,clockwork,750ms,1,15.183,1,1088
11,level-3a,750ms,1,29.516,2,1930
12,blue-hour,750ms,1,10.250,0,2117
13,level-3b,750ms,1,19.233,1,1090
14,level-4a,750ms,1,24.283,0,3450
15,airlock,750ms,1,11.667,0,2303
16,level-4b,750ms,1,22.500,2,1180
17,level-4c,750ms,1,28.000,2,1690
18,heartbeat,750ms,1,12.733,0,2382
19,level-5,750ms,1,26.650,1,2200
20,lantern-walk,750ms,1,11.417,0,2305
21,level-6a,750ms,1,26.450,1,2200
22,level-6b,750ms,1,14.267,0,2807
23,polarity-garden,750ms,1,12.600,0,2384
24,level-7,750ms,1,24.916,1,2150
25,slingshot-alley,750ms,1,18.083,0,2749
26,level-8,750ms,1,27.583,1,2200
27,braided-current,750ms,1,20.500,1,1685
28,level-9,750ms,1,24.033,0,3450
29,level-10,750ms,1,26.266,1,2200
30,victory-lap,750ms,1,16.417,0,2645
31,level-11,750ms,1,26.350,1,2200
32,level-12,750ms,1,25.983,1,2200
33,reactor-waltz,750ms,1,15.800,0,2692
34,level-13,750ms,1,22.650,0,3250
35,level-14a,750ms,1,28.433,2,1790
36,eye-of-the-storm,750ms,1,19.717,1,1682
37,level-14b,750ms,1,16.783,2,1240
38,level-14c,750ms,1,25.883,1,1881
39,escape-velocity,750ms,1,22.550,0,3264
40,level-15,750ms,1,26.133,1,2110
1,level-1a,hazard-aware,1,13.117,0,3458
2,stepping-stones,hazard-aware,1,4.533,0,1974
3,level-1b,hazard-aware,1,6.200,0,1837
4,switchback,hazard-aware,1,5.650,0,2093
5,level-1c,hazard-aware,1,7.183,0,2028
6,level-2a,hazard-aware,1,13.517,1,2124
7,split-decision,hazard-aware,1,6.450,0,2155
8,level-2b,hazard-aware,1,6.900,0,1970
9,level-2c,hazard-aware,1,6.100,1,838
10,clockwork,hazard-aware,1,7.117,0,2318
11,level-3a,hazard-aware,1,14.267,0,3647
12,blue-hour,hazard-aware,1,6.017,0,2089
13,level-3b,hazard-aware,1,11.733,1,1152
14,level-4a,hazard-aware,1,13.450,0,3555
15,airlock,hazard-aware,1,7.900,0,2240
16,level-4b,hazard-aware,1,12.900,1,1241
17,level-4c,hazard-aware,1,17.633,1,1853
18,heartbeat,hazard-aware,1,7.283,0,2347
19,level-5,hazard-aware,1,14.600,0,3664
20,lantern-walk,hazard-aware,1,6.800,0,2351
21,level-6a,hazard-aware,1,15.283,1,2107
22,level-6b,hazard-aware,1,8.367,0,2866
23,polarity-garden,hazard-aware,1,7.383,0,2436
24,level-7,hazard-aware,1,13.900,1,2151
25,slingshot-alley,hazard-aware,1,10.167,0,2828
26,level-8,hazard-aware,1,13.417,1,2015
27,braided-current,hazard-aware,1,9.050,0,2539
28,level-9,hazard-aware,1,13.233,0,3437
29,level-10,hazard-aware,1,13.100,0,3459
30,victory-lap,hazard-aware,1,9.233,0,2717
31,level-11,hazard-aware,1,12.967,0,3340
32,level-12,hazard-aware,1,12.950,0,3340
33,reactor-waltz,hazard-aware,1,8.833,0,2661
34,level-13,hazard-aware,1,12.783,0,3242
35,level-14a,hazard-aware,1,13.033,0,3379
36,eye-of-the-storm,hazard-aware,1,9.050,0,2659
37,level-14b,hazard-aware,1,9.633,0,2493
38,level-14c,hazard-aware,1,16.117,1,2128
39,escape-velocity,hazard-aware,1,11.667,0,3173
40,level-15,hazard-aware,1,12.917,0,3360
